ax,ay,az,wx,wy,wz
0.709876,0.090541,10.113,0.14772,0.176151,0.154424
0.998368,0.337143,10.032,0.182136,0.174319,0.15718
0.618781,0.752412,9.57482,0.176656,0.179997,0.167114
1.02693,0.106389,9.6593,0.149615,0.164488,0.189814
0.726374,0.242982,9.83223,0.169168,0.192819,0.186858
0.768973,0.717766,10.0772,0.168084,0.189945,0.150894
0.802351,0.553609,9.94432,0.150344,0.159294,0.157829
0.937919,0.178083,9.98376,0.178887,0.171601,0.162106
0.916922,0.299448,9.80546,0.161147,0.173946,0.162674
0.908199,0.502056,10.0691,0.179273,0.157297,0.183119
0.794253,0.499297,10.0494,0.185038,0.198852,0.169585
0.805649,0.122522,9.78426,0.170468,0.177828,0.167408
0.699063,0.460876,9.53598,0.143404,0.136749,0.19708
0.873439,0.316652,10.2451,0.180675,0.189567,0.166797
0.98682,0.607193,9.87351,0.160532,0.206584,0.203632
0.953728,0.0879878,10.13,0.179234,0.137274,0.151361
0.860841,0.648865,10.1128,0.186109,0.184084,0.172921
1.15136,0.656858,10.4531,0.172412,0.192617,0.171281
0.774055,0.498186,10.0508,0.185952,0.169467,0.182763
1.07231,0.205822,10.202,0.160513,0.179217,0.171284
0.971161,0.468151,9.83515,0.160649,0.168791,0.16928
0.894027,0.74839,10.0985,0.199473,0.167073,0.198908
0.836183,0.0752252,10.1227,0.115894,0.180333,0.171761
1.17445,0.412988,9.83694,0.169841,0.187795,0.186771
0.733517,0.436545,9.84059,0.206518,0.168284,0.183987
0.467678,0.233722,9.4594,0.14073,0.188851,0.194091
0.917494,0.584162,9.9624,0.157893,0.179682,0.180544
0.863138,0.372861,10.1941,0.201849,0.139037,0.152865
0.577572,0.673992,9.93701,0.165063,0.197632,0.184476
0.616233,0.642718,10.3267,0.182869,0.150549,0.189844
0.878605,0.200276,9.58781,0.178627,0.20069,0.165608
1.02758,0.408495,10.1689,0.158191,0.205262,0.189538
0.658409,-0.142547,9.85287,0.147268,0.20656,0.202909
1.18453,0.687276,9.95315,0.215155,0.159128,0.18802
0.541004,0.406523,10.0322,0.182408,0.170822,0.127319
1.1002,0.533093,10.3168,0.179162,0.167319,0.166453
0.463081,0.628287,10.1218,0.176505,0.161807,0.147446
0.744007,0.518261,10.3866,0.171694,0.138012,0.164689
