timestamp,x,y,z,vx,vy,vz,ax,ay,az,phi,theta,psi
1542356325.471108359,52.9244,19.7337,-0.841477,-0.689854,0.771638,-0.0831526,0.0450988,1.20229,-0.00206232,-0.441026,-6.02071,-86.5632
1542356325.519177487,52.8995,19.7683,-0.845251,-0.605054,0.79051,-0.0854492,-0.0401286,1.21042,-0.133792,-0.456995,-5.99161,-86.5448
1542356325.567291996,52.8642,19.805,-0.853118,-0.671762,0.826987,-0.122922,-0.126386,1.13627,-0.0692866,-0.452159,-5.98398,-86.5475
1542356325.610087462,52.8345,19.8416,-0.85901,-0.686743,0.877505,-0.135905,-0.139989,1.14621,-0.109901,-0.457397,-5.97011,-86.5231
1542356325.658133846,53.004,19.7416,-0.89213,-0.637608,0.815645,-0.222889,-0.174243,1.16077,-0.176876,0.0229106,-6.24217,-86.7045
1542356325.700886695,52.9765,19.7775,-0.901821,-0.640278,0.862681,-0.229571,-0.062448,1.10019,-0.156294,0.0352466,-6.23706,-86.6886
1542356325.748949562,52.9487,19.8181,-0.915498,-0.61827,0.900678,-0.254181,-0.00791819,1.10626,-0.162583,0.0429739,-6.22434,-86.6654
1542356325.791704826,52.9205,19.8569,-0.925544,-0.636271,0.949808,-0.252356,-0.0587636,1.20889,-0.0984892,0.05315,-6.20481,-86.6318
1542356325.839813151,52.8849,19.9014,-0.935629,-0.671728,1.00059,-0.245773,-0.0105329,1.21452,-0.0854891,0.06834,-6.1925,-86.581
1542356325.887884541,52.8404,19.9424,-0.942317,-0.757213,1.03075,-0.231325,-0.193654,1.24615,-0.158589,0.0786504,-6.19951,-86.5418
1542356325.930658853,52.7866,19.9704,-0.94318,-0.900603,1.04253,-0.201013,-0.184626,1.16764,-0.0937339,0.0931254,-6.22749,-86.5667
1542356325.978708797,53.1997,19.7522,-0.83168,-0.890954,0.887008,-0.0818298,-0.100423,0.889363,-0.0280913,0.152859,-5.55764,-86.9818
1542356326.021624425,53.1717,19.7192,-0.837697,-0.774529,0.177168,-0.121322,-0.0577524,0.70701,-0.270582,0.156002,-5.58128,-86.9726
1542356326.069585050,53.2804,19.7213,-0.833632,-0.737654,0.239182,-0.120169,0.0244232,0.64649,-0.344997,0.0314443,-5.49873,-86.9893
1542356326.117754015,53.2474,19.7322,-0.83855,-0.715349,0.262394,-0.120398,-0.0646011,0.765678,-0.257163,0.0440049,-5.45716,-86.9564
1542356326.160502774,53.4067,19.7421,-0.798551,-0.658447,0.364914,-0.0740142,0.0340851,0.944293,0.0441684,-0.608225,-5.6776,-86.9156
1542356326.208557834,53.3724,19.7592,-0.807208,-0.68335,0.401302,-0.127627,0.0813047,1.06718,-0.0273496,-0.593401,-5.65149,-86.8953
1542356326.251315091,53.3262,19.7739,-0.816852,-0.84867,0.431586,-0.181409,0.102401,1.13117,0.0130332,-0.544832,-5.67361,-86.9079
1542356326.299382520,53.2783,19.8034,-0.828685,-0.913264,0.536964,-0.229242,0.169253,1.00329,-0.172516,-0.555739,-5.71873,-86.8839
1542356326.347568614,53.2408,19.8284,-0.835595,-0.84752,0.566937,-0.21125,0.162206,0.885833,-0.315204,-0.548395,-5.77118,-86.8736
1542356326.390268014,53.2048,19.8534,-0.844903,-0.844001,0.600336,-0.225517,0.0823995,0.782204,-0.334134,-0.561623,-5.78601,-86.8489
1542356326.438316325,53.1789,19.8793,-0.839293,-0.738598,0.626385,-0.135523,0.0648406,0.929548,-0.216009,-0.587814,-5.76376,-86.7858
1542356326.481122369,53.161,19.9154,-0.839838,-0.648827,0.702735,-0.108579,0.0249962,1.06907,-0.144926,-0.624448,-5.72459,-86.7456
1542356326.529180275,53.1446,19.9654,-0.838832,-0.559008,0.813414,-0.0652204,-0.0184916,1.30981,-0.0838344,-0.665077,-5.68731,-86.7275
1542356326.577255152,53.633,19.7753,-0.83545,-0.456616,0.802511,-0.181056,0.143581,1.49209,0.175408,-0.503252,-5.80958,-86.9794
1542356326.620094027,53.6082,19.8176,-0.845898,-0.516237,0.926938,-0.220775,-0.0307795,1.30119,-0.209607,-0.519637,-5.85743,-86.9511
1542356326.668086273,53.5774,19.8655,-0.863668,-0.586329,0.999303,-0.295773,-0.0776085,1.05626,-0.281639,-0.499978,-5.94379,-86.9448
1542356326.710919858,53.5503,19.9163,-0.878209,-0.620086,1.08549,-0.323854,-0.0760261,0.834578,-0.394067,-0.50308,-5.98229,-86.904
