x,y,z,vx,vy,vz,phi,theta,psi
-0.295806,-0.875302,0.416057,-0.307658,2.76939,3.79233,1.23087,5.90958,2.30826
0.0050444,-0.699348,0.169131,-0.440181,2.68479,3.72324,1.21624,5.91015,2.15429
-0.20837,-0.399099,0.251474,-0.361304,2.08146,3.70502,1.13189,6.00908,1.97285
0.236339,-0.609133,0.427922,-0.505905,1.92,3.93998,0.952031,6.44774,1.86995
0.0913798,-0.511061,0.185037,-0.841668,1.13275,4.06724,0.937523,6.46856,2.09468
0.318926,-0.17727,0.302601,-0.290821,1.62864,3.91261,0.76807,6.46569,2.51268
0.302635,-0.276386,0.679372,-0.51685,1.5905,4.11457,0.823536,6.63235,2.94229
0.300894,-0.333973,0.76047,-0.178259,1.52584,3.88317,0.81712,6.42911,3.36146
0.589197,-0.159516,0.75085,-0.186461,1.18325,3.79037,0.873675,6.31359,3.68586
0.578957,-0.253237,0.475325,0.000878185,1.08707,4.05575,0.874089,6.45312,3.83542
0.735229,-0.166589,0.649773,-0.214882,1.30464,3.60512,0.923239,6.50656,4.04268
0.494099,-0.387536,0.919227,-0.328221,1.50371,4.00011,0.638945,6.5548,3.77094
0.469014,-0.844878,1.04988,-0.693743,1.08855,3.71117,0.743364,6.62643,3.94957
0.697021,-1.16581,1.40485,-0.827857,0.89538,3.20958,0.664634,6.64534,3.77071
0.55202,-1.11763,1.72116,-0.420355,1.52055,3.2781,0.722675,6.58721,3.79516
0.162065,-0.938918,1.73215,-0.397469,1.72967,3.26092,0.713806,6.54071,3.50584
-0.0133056,-0.883253,2.02286,-0.98496,1.51319,3.18223,0.69561,6.26642,3.45628
-0.137706,-1.03863,1.80161,-0.790362,1.12984,3.60137,0.609445,5.83141,3.5226
-0.437159,-1.4713,1.68419,-0.855972,0.847453,3.83541,0.718698,6.1253,3.54399
-0.66283,-1.3325,1.82038,-1.13015,1.22898,3.84455,0.864075,6.16582,3.75592
-0.5569,-0.888081,1.80889,-1.04083,1.71698,4.63468,1.0513,5.98715,4.04805
-0.78473,-1.07925,1.57698,-1.22502,1.52552,4.41856,0.959556,5.99391,3.89708
-0.81966,-0.665659,1.46794,-1.34,2.08167,3.98591,1.02527,5.8955,4.18623
-0.745196,-0.687307,1.46959,-1.34081,2.36005,3.79213,1.20797,5.79111,4.28928
-0.528155,-0.553854,1.92145,-1.28772,2.33301,3.19703,1.33419,6.00039,4.09319
-0.536121,-0.857851,2.18741,-1.24249,2.33258,3.49664,1.45593,5.9015,4.22987
-0.509758,-0.777674,1.90931,-1.40145,2.39165,3.03813,1.482,6.22618,4.11831
-0.373007,-0.674134,1.57419,-0.997582,2.65203,3.43946,1.48557,6.41132,4.12407
-0.575053,-0.507211,1.64114,-0.61214,2.54504,3.62446,1.62164,6.06009,4.06722
-0.717574,-0.572302,1.67599,-1.04754,2.84627,3.46138,1.94972,6.09832,3.83041
-0.662299,-0.407986,2.09911,-1.12833,3.26424,3.40728,2.09985,6.24174,3.85114
-0.759676,-0.378334,2.37623,-0.695817,2.83604,3.61591,2.33626,5.99762,3.81345
-0.542291,-0.0885397,2.53153,-0.807096,2.74031,3.74953,2.18283,5.90575,3.7945
-0.513214,0.0346178,2.68233,-0.864232,2.74683,3.68455,2.03624,5.89478,4.26433
-0.403861,0.161395,2.45198,-0.688468,2.47313,3.56264,1.85816,5.85609,4.56097
-0.363116,-0.0392832,2.22247,-0.513415,2.59112,3.46298,2.15186,5.8957,4.66669
-0.510733,0.0645719,2.16674,-0.487936,2.84267,3.50594,2.08132,5.67054,4.85667
-0.485437,0.0460318,2.38561,-0.303428,2.69397,3.80016,1.96911,5.83892,5.06066
-0.451213,0.167483,2.39541,-0.471076,2.75806,3.90156,1.91182,5.92006,5.39315
-0.319829,-0.0573239,2.28128,-0.15068,2.63722,3.7916,1.70117,5.93929,5.27133
