timestamp,x,y,z,vx,vy,vz,phi,theta,psi
1542356267.614105398,0,0,0,0,1.15339,0,0,0,0
1542356267.261088733,-0.469085,3.20552,0,0,0,0,0,0,0.0770111
1542356267.734102552,0,0,0,0,1.15339,0,0,0,0
1542356267.747962000,-0.113974,4.70663,-0.168544,0,0,0,-0.669043,-0.98726,-0.752388
1542356267.834115408,0,0,0,0,1.24559,0,0,0,0
1542356267.874124971,0,0,0,0,1.24559,0,0,0,0
1542356267.848743000,-0.113002,4.81188,-0.173946,0,0,0,-0.719716,-1.35569,-0.806178
1542356267.914138047,0,0,0,0,1.24559,0,0,0,0
1542356267.954105745,0,0,0,0,1.24559,0,0,0,0
1542356267.994107972,0,0,0,0,1.30572,0,0,0,0
1542356268.034120755,0,0,0,0,1.30572,0,0,0,0
1542356268.050364000,-0.138339,5.05149,-0.153769,0,0,0,-1.09471,-1.67068,-0.694937
1542356268.074115669,0,0,0,0,1.30572,0,0,0,0
1542356268.114105617,0,0,0,0,1.30572,0,0,0,0
1542356268.174132436,0,0,0,0,1.30572,0,0,0,0
1542356268.214105621,0,0,0,0,1.33837,0,0,0,0
1542356268.251985000,-0.136382,5.35953,-0.15072,0,0,0,-0.568973,-0.848037,-1.39987
1542356268.334121249,0,0,0,0,1.33837,0,0,0,0
1542356268.374121073,0,0,0,0,1.33837,0,0,0,0
1542356268.352756000,-0.157598,5.48512,-0.148196,0,0,0,-0.436326,-0.814861,-1.45238
1542356268.414121379,0,0,0,0,1.3355,0,0,0,0
1542356268.474132069,0,0,0,0,1.3355,0,0,0,0
1542356268.089174894,-0.477734,4.09977,0,0,0,0,0,0,-0.588989
1542356268.453558000,-0.147297,5.61316,-0.146078,0,0,0,-0.439929,-0.868412,-1.51256
1542356268.554142739,0,0,0,0,1.3355,0,0,0,0
1542356268.594108848,0,0,0,0,1.34696,0,0,0,0
1542356268.634122794,0,0,0,0,1.34696,0,0,0,0
1542356268.674110997,0,0,0,0,1.34696,0,0,0,0
1542356268.714123132,0,0,0,0,1.34696,0,0,0,0
1542356268.754117095,0,0,0,0,1.34696,0,0,0,0
1542356268.814144156,0,0,0,0,1.37903,0,0,0,0
1542356268.854120600,0,0,0,0,1.37903,0,0,0,0
1542356268.914127969,0,0,0,0,1.37903,0,0,0,0
1542356268.957560000,-0.0715786,6.24131,-0.196043,0,0,0,-0.749328,-0.480757,-1.95445
1542356269.014106719,0,0,0,0,1.43458,0,0,0,0
1542356269.054120558,0,0,0,0,1.43458,0,0,0,0
1542356269.058379000,-0.0508237,6.36927,-0.197533,0,0,0,-0.604379,-0.516263,-2.11376
1542356269.154147994,0,0,0,0,1.43458,0,0,0,0
1542356269.159181000,-0.0463086,6.50181,-0.202241,0,0,0,-0.466369,-0.643261,-2.64212
1542356269.234120117,0,0,0,0,1.47925,0,0,0,0
1542356269.254139079,0,0,0,0,1.47925,0,0,0,0
1542356269.314112148,0,0,0,0,1.47925,0,0,0,0
1542356269.354139366,0,0,0,0,1.47925,0,0,0,0
1542356269.394110602,0,0,0,0,1.30973,0,0,0,0
